title,author,url,description,subjects,categories,avg_rating,ratings_count,publisher,published_date,page_count,isbn10,isbn13,language,description_long,unique_id
the will to believe and other essays in popular philosophy,william james,https://www.gutenberg.org/ebooks/26659,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the will to believe and other essays in popular philosophywilliam james,,,4436688847084007665
the garden party and other stories,katherine mansfield,https://www.gutenberg.org/ebooks/1429,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the garden party and other storieskatherine mansfield,,,1050465625675911512
the wars of the jews or the history of the destruction of jerusalem,flavius josephus,https://www.gutenberg.org/ebooks/2850,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the wars of the jews or the history of the destruction of jerusalemflavius josephus,,,996515377795718192
mrs dalloway,virginia woolf,https://www.gutenberg.org/ebooks/71865,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,mrs dallowayvirginia woolf,,,-5934178167614094504
an occurrence at owl creek bridge,ambrose bierce,https://www.gutenberg.org/ebooks/375,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,an occurrence at owl creek bridgeambrose bierce,,,8354942558315706154
the old curiosity shop,charles dickens,https://www.gutenberg.org/ebooks/700,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the old curiosity shopcharles dickens,,,-6710803938937599233
little brother,cory doctorow,https://www.gutenberg.org/ebooks/30142,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,little brothercory doctorow,,,2803423930620406326
the song celestial or bhagavadgt from the mahbhrata,unknown,https://www.gutenberg.org/ebooks/2388,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the song celestial or bhagavadgt from the mahbhrataunknown,,,8660190762058540784
right ho jeeves,p g wodehouse,https://www.gutenberg.org/ebooks/10554,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,right ho jeevesp g wodehouse,,,6751491163883829240
the tale of peter rabbit,beatrix potter,https://www.gutenberg.org/ebooks/14838,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the tale of peter rabbitbeatrix potter,,,-8695847514375304821
the fall of the house of usher,edgar allan poe,https://www.gutenberg.org/ebooks/932,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the fall of the house of usheredgar allan poe,,,9167644512759889266
2 b r 0 2 b,kurt vonnegut,https://www.gutenberg.org/ebooks/21279,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,2 b r 0 2 bkurt vonnegut,,,5876653010152606759
the devils dictionary,ambrose bierce,https://www.gutenberg.org/ebooks/972,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the devils dictionaryambrose bierce,,,3940314425506130043
 chinese,junqing wang,https://www.gutenberg.org/ebooks/24029,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,, chinesejunqing wang,,,-5413063436082176035
the mysterious affair at styles,agatha christie,https://www.gutenberg.org/ebooks/863,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the mysterious affair at stylesagatha christie,,,5175653429683015965
society in america volume 1 of 2,harriet martineau,https://www.gutenberg.org/ebooks/52621,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,society in america volume 1 of 2harriet martineau,,,898053219642105163
our mutual friend,charles dickens,https://www.gutenberg.org/ebooks/883,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,our mutual friendcharles dickens,,,-5158084032624176147
poems with the ballad of reading gaol,oscar wilde,https://www.gutenberg.org/ebooks/1057,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,poems with the ballad of reading gaoloscar wilde,,,1157055830973126576
bedes ecclesiastical history of england,saint the venerable bede,https://www.gutenberg.org/ebooks/38326,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,bedes ecclesiastical history of englandsaint the venerable bede,,,-1445908743694849336
philippine folk tales,unknown,https://www.gutenberg.org/ebooks/12814,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,philippine folk talesunknown,,,2318797105599519872
democracy in america  volume 2,alexis de tocqueville,https://www.gutenberg.org/ebooks/816,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,democracy in america  volume 2alexis de tocqueville,,,-663322884713232063
the history of rome books 01 to 08,livy,https://www.gutenberg.org/ebooks/19725,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the history of rome books 01 to 08livy,,,-6425999324854630707
the principles of psychology volume 1 of 2,william james,https://www.gutenberg.org/ebooks/57628,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the principles of psychology volume 1 of 2william james,,,3158359438842208756
notredame de paris,victor hugo,https://www.gutenberg.org/ebooks/2610,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,notredame de parisvictor hugo,,,6001413073839574403
how we think,john dewey,https://www.gutenberg.org/ebooks/37423,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,how we thinkjohn dewey,,,1483222913874022926
the island of doctor moreau,h g wells,https://www.gutenberg.org/ebooks/159,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the island of doctor moreauh g wells,,,6807903153667487223
apology,plato,https://www.gutenberg.org/ebooks/1656,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,apologyplato,,,-2851790893730961554
the social contract  discourses,jeanjacques rousseau,https://www.gutenberg.org/ebooks/46333,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the social contract  discoursesjeanjacques rousseau,,,-409162246736170881
the divine comedy of dante alighieri the inferno,dante alighieri,https://www.gutenberg.org/ebooks/41537,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the divine comedy of dante alighieri the infernodante alighieri,,,-8480339550613798297
myths of the cherokee,james mooney,https://www.gutenberg.org/ebooks/45634,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,myths of the cherokeejames mooney,,,2469654264861612979
a selection from the works of frederick locker,frederick lockerlampson,https://www.gutenberg.org/ebooks/38463,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,a selection from the works of frederick lockerfrederick lockerlampson,,,6673445794444374789
the antichrist,friedrich wilhelm nietzsche,https://www.gutenberg.org/ebooks/19322,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the antichristfriedrich wilhelm nietzsche,,,6002435111889885633
the innocents abroad,mark twain,https://www.gutenberg.org/ebooks/3176,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the innocents abroadmark twain,,,2348687533756786713
just so stories,rudyard kipling,https://www.gutenberg.org/ebooks/2781,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,just so storiesrudyard kipling,,,-545939333361184198
the wind in the willows,kenneth grahame,https://www.gutenberg.org/ebooks/289,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the wind in the willowskenneth grahame,,,3030293770190564622
the portrait of a lady  volume 1,henry james,https://www.gutenberg.org/ebooks/2833,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the portrait of a lady  volume 1henry james,,,-5807040205134408606
american notes,charles dickens,https://www.gutenberg.org/ebooks/675,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,american notescharles dickens,,,1790962784877357196
the canterbury tales and other poems,geoffrey chaucer,https://www.gutenberg.org/ebooks/2383,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the canterbury tales and other poemsgeoffrey chaucer,,,-7858390153125091218
the bible douayrheims complete,unknown,https://www.gutenberg.org/ebooks/8300,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the bible douayrheims completeunknown,,,2304756762757367295
the house of the wolfings,william morris,https://www.gutenberg.org/ebooks/2885,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the house of the wolfingswilliam morris,,,8185478391495068747
poems every child should know,unknown,https://www.gutenberg.org/ebooks/21436,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,poems every child should knowunknown,,,5052212168435048931
a pickle for the knowing ones,timothy dexter,https://www.gutenberg.org/ebooks/43453,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,a pickle for the knowing onestimothy dexter,,,136064030591104843
as a man thinketh,james allen,https://www.gutenberg.org/ebooks/4507,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,as a man thinkethjames allen,,,-8571622411988928168
a dictionary of cebuano visayan,john u wolff,https://www.gutenberg.org/ebooks/40074,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,a dictionary of cebuano visayanjohn u wolff,,,-5949068500344476583
 japanese,john meade falkner,https://www.gutenberg.org/ebooks/35018,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,, japanesejohn meade falkner,,,-6638491063254633307
le comte de montecristo tome i french,alexandre dumas and auguste maquet,https://www.gutenberg.org/ebooks/17989,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,le comte de montecristo tome i frenchalexandre dumas and auguste maquet,,,-5021082252732301337
the germany and the agricola of tacitus,cornelius tacitus,https://www.gutenberg.org/ebooks/7524,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the germany and the agricola of tacituscornelius tacitus,,,-8243201516040529148
revelations of divine love,of norwich julian,https://www.gutenberg.org/ebooks/52958,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,revelations of divine loveof norwich julian,,,40211560406104008
the memoirs of sherlock holmes,arthur conan doyle,https://www.gutenberg.org/ebooks/834,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the memoirs of sherlock holmesarthur conan doyle,,,2646933927825399813
mrchen der gebrder grimm 2 german,jacob grimm and wilhelm grimm,https://www.gutenberg.org/ebooks/20051,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,mrchen der gebrder grimm 2 germanjacob grimm and wilhelm grimm,,,-6744922843102735008
little dorrit,charles dickens,https://www.gutenberg.org/ebooks/963,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,little dorritcharles dickens,,,-6121942348113159212
ang filibusterismo karugtng ng noli me tangere tagalog,jos rizal,https://www.gutenberg.org/ebooks/47629,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,ang filibusterismo karugtng ng noli me tangere tagalogjos rizal,,,74933977305976351
black beauty,anna sewell,https://www.gutenberg.org/ebooks/271,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,black beautyanna sewell,,,3509840379822476149
 chinese,mengchu ling,https://www.gutenberg.org/ebooks/24162,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,, chinesemengchu ling,,,117767499965116862
the aeneid,virgil,https://www.gutenberg.org/ebooks/228,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the aeneidvirgil,,,-5299088597693302117
the roll of honour volume 1   a biographical record of all members of his majestys naval  and military forces who have fallen in the war,marquis de melville henry massue ruvigny et raineval,https://www.gutenberg.org/ebooks/75883,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the roll of honour volume 1   a biographical record of all members of his majestys naval  and military forces who have fallen in the warmarquis de melville henry massue ruvigny et raineval,,,-9071719953272845112
martin chuzzlewit,charles dickens,https://www.gutenberg.org/ebooks/968,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,martin chuzzlewitcharles dickens,,,-5937098462195243178
the anatomy of melancholy,robert burton,https://www.gutenberg.org/ebooks/10800,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the anatomy of melancholyrobert burton,,,2111935774886018158
jane eyre,charlotte bront,https://www.gutenberg.org/ebooks/23077,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,jane eyrecharlotte bront,,,4940944682334512405
omens and superstitions of southern india,edgar thurston,https://www.gutenberg.org/ebooks/35690,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,omens and superstitions of southern indiaedgar thurston,,,-3159608113429235274
the uncommercial traveller,charles dickens,https://www.gutenberg.org/ebooks/914,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the uncommercial travellercharles dickens,,,-2883489992003998125
the masque of the red death,edgar allan poe,https://www.gutenberg.org/ebooks/1064,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the masque of the red deathedgar allan poe,,,-3701582193185211894
the works of edgar allan poe the raven edition,edgar allan poe,https://www.gutenberg.org/ebooks/25525,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the works of edgar allan poe the raven editionedgar allan poe,,,-6945068113690436319
we,evgenii ivanovich zamiatin,https://www.gutenberg.org/ebooks/61963,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,weevgenii ivanovich zamiatin,,,-5096279335530986630
the return of the native,thomas hardy,https://www.gutenberg.org/ebooks/26264,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the return of the nativethomas hardy,,,-3580916913106135184
dombey and son,charles dickens,https://www.gutenberg.org/ebooks/821,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,dombey and soncharles dickens,,,-1682749270202495614
the social cancer a complete english version of noli me tangere,jos rizal,https://www.gutenberg.org/ebooks/6737,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the social cancer a complete english version of noli me tangerejos rizal,,,8002520513173219624
the man who was thursday a nightmare,g k chesterton,https://www.gutenberg.org/ebooks/1695,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the man who was thursday a nightmareg k chesterton,,,-7465021694057592852
susan b anthony,alma lutz,https://www.gutenberg.org/ebooks/20439,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,susan b anthonyalma lutz,,,7425160756699412296
les trois mousquetaires french,alexandre dumas and auguste maquet,https://www.gutenberg.org/ebooks/13951,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,les trois mousquetaires frenchalexandre dumas and auguste maquet,,,-3536559936216195313
biographia literaria,samuel taylor coleridge,https://www.gutenberg.org/ebooks/6081,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,biographia literariasamuel taylor coleridge,,,-255649758044931518
the red badge of courage an episode of the american civil war,stephen crane,https://www.gutenberg.org/ebooks/73,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the red badge of courage an episode of the american civil warstephen crane,,,-1257035371791953418
the pursuit of god,a w tozer,https://www.gutenberg.org/ebooks/25141,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the pursuit of goda w tozer,,,-7643787726343369743
doctrina christiana,,,,,,,,,,,,,,,8601135210215705777
 spanish tagalog,unknown,https://www.gutenberg.org/ebooks/16119,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,, spanish tagalogunknown,,,-7613615314811024459
utopia,saint thomas more,https://www.gutenberg.org/ebooks/2130,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,utopiasaint thomas more,,,3964786053142857576
nobodys girl,hector malot,https://www.gutenberg.org/ebooks/27690,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,nobodys girlhector malot,,,5274608199388228430
la odisea spanish,homer,https://www.gutenberg.org/ebooks/58221,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,la odisea spanishhomer,,,-5519566659670601318
riders to the sea,j m synge,https://www.gutenberg.org/ebooks/994,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,riders to the seaj m synge,,,-729791976416014086
the influence of sea power upon history 16601783,a t mahan,https://www.gutenberg.org/ebooks/13529,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the influence of sea power upon history 16601783a t mahan,,,5084452224861859571
dao de jing a minimalist translation chinese,laozi,https://www.gutenberg.org/ebooks/49965,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,dao de jing a minimalist translation chineselaozi,,,4327298357885056637
the complete herbal,nicholas culpeper,https://www.gutenberg.org/ebooks/49513,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the complete herbalnicholas culpeper,,,-6884478531050464275
the woman in white,wilkie collins,https://www.gutenberg.org/ebooks/583,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the woman in whitewilkie collins,,,-5197484839763601316
human all too human a book for free spirits,friedrich wilhelm nietzsche,https://www.gutenberg.org/ebooks/38145,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,human all too human a book for free spiritsfriedrich wilhelm nietzsche,,,-2997402662715577748
the letters of franklin k lane personal and political,franklin k lane,https://www.gutenberg.org/ebooks/4206,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the letters of franklin k lane personal and politicalfranklin k lane,,,-8299191652116071884
the satyricon  complete,petronius arbiter,https://www.gutenberg.org/ebooks/5225,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the satyricon  completepetronius arbiter,,,2472515675130024710
gullivers travels,jonathan swift,https://www.gutenberg.org/ebooks/28946,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,gullivers travelsjonathan swift,,,7859768188896108166
the swiss family robinson,johann david wyss,https://www.gutenberg.org/ebooks/26274,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the swiss family robinsonjohann david wyss,,,804755281240895014
eugene oneguine onegin,aleksandr sergeevich pushkin,https://www.gutenberg.org/ebooks/23997,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,eugene oneguine oneginaleksandr sergeevich pushkin,,,819254567790457368
sir gawayne and the green knight middle english 11001500,unknown,https://www.gutenberg.org/ebooks/14568,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,sir gawayne and the green knight middle english 11001500unknown,,,-7051531744273224433
a treatise of human nature,david hume,https://www.gutenberg.org/ebooks/4705,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,a treatise of human naturedavid hume,,,-4011098175541579563
southern horrors lynch law in all its phases,ida b wellsbarnett,https://www.gutenberg.org/ebooks/14975,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,southern horrors lynch law in all its phasesida b wellsbarnett,,,5859810080426534609
a complete guide to heraldry,arthur charles foxdavies,https://www.gutenberg.org/ebooks/41617,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,a complete guide to heraldryarthur charles foxdavies,,,5253875538289062368
 chinese,boyuan li,https://www.gutenberg.org/ebooks/25379,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,, chineseboyuan li,,,2610065221202196664
the flowers of evil,charles baudelaire,https://www.gutenberg.org/ebooks/36098,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the flowers of evilcharles baudelaire,,,-2152031009752671115
cyrano de bergerac,edmond rostand,https://www.gutenberg.org/ebooks/1254,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,cyrano de bergeracedmond rostand,,,1405856840292215478
ruggles of red gap,harry leon wilson,https://www.gutenberg.org/ebooks/9151,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,ruggles of red gapharry leon wilson,,,-8970061857904534675
north and south,elizabeth cleghorn gaskell,https://www.gutenberg.org/ebooks/4276,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,north and southelizabeth cleghorn gaskell,,,-8087272102317116531
poems,victor hugo,https://www.gutenberg.org/ebooks/8775,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,poemsvictor hugo,,,-2783435260415690043
the life and opinions of tristram shandy gentleman,laurence sterne,https://www.gutenberg.org/ebooks/1079,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the life and opinions of tristram shandy gentlemanlaurence sterne,,,4650141885776383099
bacons essays and wisdom of the ancients,francis bacon,https://www.gutenberg.org/ebooks/56463,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,bacons essays and wisdom of the ancientsfrancis bacon,,,-299527395562101812
 chinese,jianren wu,https://www.gutenberg.org/ebooks/24099,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,, chinesejianren wu,,,-4544114822381055718
the story of beowulf translated from anglosaxon into modern english prose,unknown,https://www.gutenberg.org/ebooks/50742,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the story of beowulf translated from anglosaxon into modern english proseunknown,,,5444444541750532658
the merry adventures of robin hood,howard pyle,https://www.gutenberg.org/ebooks/10148,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the merry adventures of robin hoodhoward pyle,,,4374163177697597017
a connecticut yankee in king arthurs court,mark twain,https://www.gutenberg.org/ebooks/86,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,a connecticut yankee in king arthurs courtmark twain,,,-7570553554409962630
the essays of arthur schopenhauer studies in pessimism,arthur schopenhauer,https://www.gutenberg.org/ebooks/10732,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the essays of arthur schopenhauer studies in pessimismarthur schopenhauer,,,8703582249704137802
the merchant of venice,william shakespeare,https://www.gutenberg.org/ebooks/1515,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the merchant of venicewilliam shakespeare,,,-5936680001011239011
the canterville ghost,oscar wilde,https://www.gutenberg.org/ebooks/14522,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the canterville ghostoscar wilde,,,5569816417324012135
mr honeys large business dictionary englishgerman german,winfried honig,https://www.gutenberg.org/ebooks/3221,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,mr honeys large business dictionary englishgerman germanwinfried honig,,,-8591701039722070898
helps to latin translation at sight,edmund luce,https://www.gutenberg.org/ebooks/28890,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,helps to latin translation at sightedmund luce,,,-7135091079725479868
swanns way,marcel proust,https://www.gutenberg.org/ebooks/7178,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,swanns waymarcel proust,,,3536944286637515866
a farewell to arms,ernest hemingway,https://www.gutenberg.org/ebooks/75201,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,a farewell to armsernest hemingway,,,-6473928326415894669
a princess of mars,edgar rice burroughs,https://www.gutenberg.org/ebooks/62,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,a princess of marsedgar rice burroughs,,,-8927988564681111488
the philippine islands 14931898 volume 33 15191522,antonio pigafetta,https://www.gutenberg.org/ebooks/42884,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the philippine islands 14931898 volume 33 15191522antonio pigafetta,,,-4386801863462220941
the aesop for children,aesop,https://www.gutenberg.org/ebooks/19994,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the aesop for childrenaesop,,,567690618224190221
the science of getting rich,w d wattles,https://www.gutenberg.org/ebooks/59844,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the science of getting richw d wattles,,,6966326096963849654
the online world,odd de presno,https://www.gutenberg.org/ebooks/80,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the online worldodd de presno,,,3662953334741107655
the duchess of malfi,john webster,https://www.gutenberg.org/ebooks/2232,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the duchess of malfijohn webster,,,7683181388763488945
the call of cthulhu,h p lovecraft,https://www.gutenberg.org/ebooks/68283,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the call of cthulhuh p lovecraft,,,4669688925981913298
mi ultimo adis spanish,jos rizal,https://www.gutenberg.org/ebooks/18600,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,mi ultimo adis spanishjos rizal,,,7013899824226797999
in praise of folly,desiderius erasmus,https://www.gutenberg.org/ebooks/30201,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,in praise of follydesiderius erasmus,,,2413339232145780244
howards end,e m forster,https://www.gutenberg.org/ebooks/22452,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,howards ende m forster,,,-3318218155048446425
some jewish witnesses for christ,aaron bernstein,https://www.gutenberg.org/ebooks/37734,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,some jewish witnesses for christaaron bernstein,,,-7868375067367443187
utilitarianism,john stuart mill,https://www.gutenberg.org/ebooks/11224,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,utilitarianismjohn stuart mill,,,8145706524022379465
the trial,franz kafka,https://www.gutenberg.org/ebooks/7849,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the trialfranz kafka,,,6398579674954637863
gullivers travels into several remote regions of the world,jonathan swift,https://www.gutenberg.org/ebooks/17157,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,gullivers travels into several remote regions of the worldjonathan swift,,,-9108925418772175316
strange stories from a chinese studio volumes 1 and 2,songling pu,https://www.gutenberg.org/ebooks/43629,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,strange stories from a chinese studio volumes 1 and 2songling pu,,,-308555193676461209
the roman history of ammianus marcellinus,ammianus marcellinus,https://www.gutenberg.org/ebooks/28587,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the roman history of ammianus marcellinusammianus marcellinus,,,3851475621145319419
on the nature of things,titus lucretius carus,https://www.gutenberg.org/ebooks/785,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,on the nature of thingstitus lucretius carus,,,1475570565495824028
plutarch lives of the noble grecians and romans,plutarch,https://www.gutenberg.org/ebooks/674,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,plutarch lives of the noble grecians and romansplutarch,,,5544087206781604631
life in mexico,madame caldern de la barca,https://www.gutenberg.org/ebooks/28761,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,life in mexicomadame caldern de la barca,,,2244997838107663608
pragmatism a new name for some old ways of thinking,william james,https://www.gutenberg.org/ebooks/5116,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,pragmatism a new name for some old ways of thinkingwilliam james,,,-2903033804244321276
the forsyte saga  complete,john galsworthy,https://www.gutenberg.org/ebooks/4397,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the forsyte saga  completejohn galsworthy,,,2176341845802438561
shakespearean tragedy lectures on hamlet othello king lear macbeth,a c bradley,https://www.gutenberg.org/ebooks/16966,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,shakespearean tragedy lectures on hamlet othello king lear macbetha c bradley,,,3318471990286435041
small souls,louis couperus,https://www.gutenberg.org/ebooks/34021,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,small soulslouis couperus,,,-5305545856466941601
kidnapped,robert louis stevenson,https://www.gutenberg.org/ebooks/421,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,kidnappedrobert louis stevenson,,,1778847683880647207
the game of rat and dragon,paul myron anthony linebarger,https://www.gutenberg.org/ebooks/29614,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the game of rat and dragonpaul myron anthony linebarger,,,-613705683424042973
a passage to india,e m forster,https://www.gutenberg.org/ebooks/61221,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,a passage to indiae m forster,,,-8798100117741923807
rur rossums universal robots,karel apek,https://www.gutenberg.org/ebooks/59112,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,rur rossums universal robotskarel apek,,,9218402969106280524
the natural history of pliny volume 1 of 6,the elder pliny,https://www.gutenberg.org/ebooks/57493,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the natural history of pliny volume 1 of 6the elder pliny,,,159850720433927479
1900 or the last president,ingersoll lockwood,https://www.gutenberg.org/ebooks/60479,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,1900 or the last presidentingersoll lockwood,,,-918760854665291122
modern english biography volume 2 of 4 iq,frederic boase,https://www.gutenberg.org/ebooks/71046,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,modern english biography volume 2 of 4 iqfrederic boase,,,5652323658260884125
a concise dictionary of middle english from ad 1150 to 1580,walter w skeat and a l mayhew,https://www.gutenberg.org/ebooks/10625,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,a concise dictionary of middle english from ad 1150 to 1580walter w skeat and a l mayhew,,,-7413712132386322055
