title,author,url,description,subjects,categories,avg_rating,ratings_count,publisher,published_date,page_count,isbn10,isbn13,language,description_long,unique_id
leviathan,thomas hobbes,https://www.gutenberg.org/ebooks/3207,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,leviathanthomas hobbes,,,-8212008863271374159
the adventures of sherlock holmes,arthur conan doyle,https://www.gutenberg.org/ebooks/1661,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the adventures of sherlock holmesarthur conan doyle,,,4794667801641370084
adventures of huckleberry finn,mark twain,https://www.gutenberg.org/ebooks/76,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,adventures of huckleberry finnmark twain,,,-2230433153411842891
metamorphosis,franz kafka,https://www.gutenberg.org/ebooks/5200,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,metamorphosisfranz kafka,,,4523393327045028632
wuthering heights,emily bront,https://www.gutenberg.org/ebooks/768,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,wuthering heightsemily bront,,,8082377040567184860
bleak house,charles dickens,https://www.gutenberg.org/ebooks/1023,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,bleak housecharles dickens,,,6003057556951541907
the yellow wallpaper,charlotte perkins gilman,https://www.gutenberg.org/ebooks/1952,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the yellow wallpapercharlotte perkins gilman,,,2597877381980653087
great expectations,charles dickens,https://www.gutenberg.org/ebooks/1400,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,great expectationscharles dickens,,,-428172867673681353
grimms fairy tales,jacob grimm and wilhelm grimm,https://www.gutenberg.org/ebooks/2591,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,grimms fairy talesjacob grimm and wilhelm grimm,,,-8362306092232946123
the brothers karamazov,fyodor dostoyevsky,https://www.gutenberg.org/ebooks/28054,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the brothers karamazovfyodor dostoyevsky,,,2244311644227722167
the prince,niccol machiavelli,https://www.gutenberg.org/ebooks/1232,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the princeniccol machiavelli,,,-550510650812530335
the count of monte cristo,alexandre dumas and auguste maquet,https://www.gutenberg.org/ebooks/1184,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the count of monte cristoalexandre dumas and auguste maquet,,,-1060676958684856547
the iliad,homer,https://www.gutenberg.org/ebooks/6130,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the iliadhomer,,,8362200339527321135
anne of green gables,l m montgomery,https://www.gutenberg.org/ebooks/45,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,anne of green gablesl m montgomery,,,-4949351687310222393
the souls of black folk,w e b du bois,https://www.gutenberg.org/ebooks/408,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the souls of black folkw e b du bois,,,9049803944220325326
the king in yellow,robert w chambers,https://www.gutenberg.org/ebooks/8492,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the king in yellowrobert w chambers,,,6974155246416408075
second treatise of government,john locke,https://www.gutenberg.org/ebooks/7370,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,second treatise of governmentjohn locke,,,3799151656547307704
war and peace,graf leo tolstoy,https://www.gutenberg.org/ebooks/2600,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,war and peacegraf leo tolstoy,,,4152876755633502790
the adventures of tom sawyer complete,mark twain,https://www.gutenberg.org/ebooks/74,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the adventures of tom sawyer completemark twain,,,-2651671686995444527
